document_id,evidence_queries
-000-903-arcelormittal_climateactionreport_29.7.21_aug2021.pdf,"['Transparency on Legislation', 'Alignment with IPCC on Climate Action']"
-000-900-Arcelormittal_ETSreform_publicconsultation_4.2.21_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Carbon Tax']"
-000-988-ArcelorMittal_website_steel-scrap_27.6.22_jun2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action']"
-000-909-ArcelorMittal_advoacy-alignment-report_27.01.22_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Carbon Tax', 'Support of UN Climate Process', 'Disclosure on Relationships', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-000-935-C2ES_letter_BBB_9.2.22_feb2022.pdf,"['Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy']"
-000-981-CEOs-letter_ETS_CBAM-June2022.pdf,"['Emissions Trading', 'Alignment with IPCC on Climate Action', 'Carbon Tax']"
-000-978-Open-Letter-by-EU-steel-CEOs-on-ETS_CBAM_2022.05.24_may2022.pdf,"['Emissions Trading', 'Alignment with IPCC on Climate Action', 'Carbon Tax']"
-000-972-ArcelorMittal_pressrelease_EUparl-cbam-ets_12.5.22_may2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Carbon Tax']"
-000-964-arcelormittal_integrated-annual-review-2021_all_2.5.22_may2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Supporting the Need for Regulations']"
-001-018-arcelormittal_europapress_costs-energy_15.7.22_jul2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading']"
-001-114-arcelormittal_WEF_steeldecarbonization_17.1.23_jan2023.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-000-901-BASF_Industry-Associations-Review_11.21_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'GHG Emission Regulation', 'Support of UN Climate Process', 'Disclosure on Relationships', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy', 'Energy and Resource Efficiency']"
-000-900-BASF_Position_EuropeanGreenDeal_jan2022.pdf,"['Energy and Resource Efficiency', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-000-901-wintershalldea_natgas_website_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-000-939-BASF_2021Annualreport_p.27_25.2.22_mar2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy']"
-000-966-BASF-WintershallDea_EUMethaneRulesFeedback_April2022_AccessedMay2022.pdf,"['GHG Emission Regulation', 'Alignment with IPCC on Climate Action']"
-000-979-BASF_InvestorUpdate_EUETS&CBAM_03.2022_Jun2022.pdf,"['Emissions Trading', 'Carbon Tax']"
-000-900-BASF_Position_EmissionTradingSystems_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Supporting the Need for Regulations']"
-000-900-BASF_Position_hydrogen_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-000-901-wintershalldea_energytransition_positionpaper_12.1.22_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-939-BASF_2021Annualreport_p.204_25.2.22_mar2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process']"
-001-035-BASF_LDAfiling_Q22022_07.2022_Aug2022.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-000-900-BASF_position_GlobalClimatePolicy_jan2022.pdf,"['Support of UN Climate Process', 'Supporting the Need for Regulations']"
-001-052-BHP_AnnualReport22_p43_Sept22_AccessedSept22.pdf,"['Support of UN Climate Process', 'Alignment with IPCC on Climate Action']"
-001-057-BHP_AGMNotice22_Sept22_AccessedOct22.pdf,"['Emissions Trading', 'Alignment with IPCC on Climate Action']"
-001-057-BHP_SMReformsConsultation_Sept22_AccessedOct22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'GHG Emission Regulation', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action']"
-001-059-BHP_JapanBusinessConference_Oct22_AccessedOct22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
-001-052-BHP_AnnualReport22_p53_Sept22_AccessedSept22.pdf,"['Land Use', 'Emissions Trading']"
-001-001-BHP_PositionOnClimateChange_AccessedJul22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
-000-945-BMW_2021-Integrated-Report_03-2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency', 'GHG Emission Regulation']"
-000-966-BMW_Macron-Delay_05-2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-980-BMW_ACEA-PressRelease-June22_Accessed-June22.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-946-BMW_PoliticoPro_ICE_03-2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-939-bp-submission-hikinate-kohupara-green-paper_June2021.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-001-026-bp-climate-policy-positions_May_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Energy and Resource Efficiency']"
-001-039-bp-response_to_the_Australian_Climate_Change_Bill_August_2022.pdf,"['GHG Emission Regulation', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-000-956-BP_trade-associations-climate-review-2022_pg4.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Support of UN Climate Process', 'Supporting the Need for Regulations', 'Communication of Climate Science']"
-001-027-bp-sustainability-report-2021_aim_6.pdf,"['GHG Emission Regulation', 'Emissions Trading', 'Renewable Energy']"
-001-058-bp_Australia_Response_to_the_Safeguard_mechanism_reform_September_2022.pdf,"['Emissions Trading', 'Supporting the Need for Regulations']"
-001-097-bp-US-Impact-Report-Investing-in-America_December_2022_pg6.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-997-BP_Adina-Ioana_Vălean_FOI_June_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency']"
-001-121-bp_Australia_EV_Startegy_October_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-958-bp_Letter_-_2022-23_Budget_Augmentation_April_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-028-bp_consultation_response_Dutch_climate_programme_July_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process']"
-000-935-BP_EPA_Methane_Jan_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-000-988-SMI-Joint_Letter_June_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
-001-122-bp_Australia_SM_Reform_Senate_submission_Jan_2023.pdf,"['Support of UN Climate Process', 'Emissions Trading', 'Supporting the Need for Regulations']"
-000-902-Bayer_Overview-Lobbying-Activities2021_12.21_jan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Land Use', 'Support of UN Climate Process', 'Transparency on Legislation', 'Alignment with IPCC on Climate Action', 'Energy and Resource Efficiency']"
-001-080-Bayer_IAreview2022_Nov2022.pdf,"['Land Use', 'Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-000-966-Bayer_linkedin_agriculture-climate_27.4.22_may2022.pdf,"['Land Use', 'Energy and Resource Efficiency', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action']"
-000-939-Bayer_SustainabilityReport2021_CEO_1.3.22_mar2022.pdf,"['Communication of Climate Science', 'Alignment with IPCC on Climate Action']"
-000-955-bayer_stories_smartagriculture_apr2022.pdf,"['Energy and Resource Efficiency', 'Communication of Climate Science']"
-001-036-BerkshireHathaway_2021AnnualReport.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-124-Bluescope_2023_Safeguard_AccessedFeb2023.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading']"
-000-898-Boeing_2021-cdp-response-key-questions_Jan2022.pdf,"['Transparency on Legislation', 'Disclosure on Relationships', 'GHG Emission Regulation']"
-000-979-Boeing_twitter_06-06-22.pdf,"['Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-094-Rolls-Royce_PR_Transatlantic-Flight_01-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-000-710-Boral_2019AnnualReport_29_accessedNov20.pdf,"['Transparency on Legislation', 'GHG Emission Regulation']"
-000-975-Boral_AFR_May22_AccessedMay22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
-000-947-crh_climate-advocacy-review-2022_22.3.22_mar2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Carbon Tax', 'Support of UN Climate Process', 'Disclosure on Relationships', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-019-www_cnrl_com_corporate_responsibility_environment_climate_ch.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-086-1130-2023-budget-and-new-ghg-emissions-reduction-target_(1).pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-001-019-lobbycanada_gc_ca_app_secure_ocl_lrs_do_vwRg_cno_286266_regI.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
"-001-040-Pathways_Alliance_Inc.___Mark_Cameron,_Consultant_-_12-Month_Lobbying_Summary_-_-_Lobbyists_Registration_System_-_Office_of_the_Commissioner_of_Lobbying_of_Canada.pdf","['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-019-registration_form_for_organization_lobbyists.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-019-www_lobbyistsregistrar_bc_ca_app_secure_orl_lrs_do_clntSmmry.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-018-www_cnrl_com_corporate_responsibility_sustainability_reporti.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-051-Canadian_Natural_Resources_profit_more_than_doubles_to_$3.5_billion___Financial_Post.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-037-Caterpillar___Climate_&_Energy_Aug2022.pdf,"['Support of UN Climate Process', 'Communication of Climate Science', 'Alignment with IPCC on Climate Action']"
-001-024-cemex_twitter_EU_2050nz_1.7.22_aug2022.pdf,"['Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-021-CLG_lettersignatories_repowerEU_15.06.22_jul2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy', 'Energy and Resource Efficiency']"
-000-973-cemex_echodonia_ets-cbam_13.5.22_may2022.pdf,"['Emissions Trading', 'Carbon Tax']"
-000-964-CEMEX_20F_2021_p.71_may2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process']"
-000-866-centrica-climate-transition-plan-2021_Oct2021_AccessedNov2021p68-69.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process', 'Energy and Resource Efficiency', 'Transparency on Legislation']"
-000-975-Chevron_May2022_SusReportCarbonPricing_May2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Carbon Tax', 'Support of UN Climate Process', 'Supporting the Need for Regulations']"
-001-062-Chevron_chief_blames_western_governments_for_energy_crunch___Financial_Times.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science', 'Supporting the Need for Regulations']"
-001-025-Carbon_Capture_&_Storage_Project_in_California_—_Chevron.com.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-036-q2LD-2_Disclosure_Form.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-073-ChevronLD-2_Disclosure_Form.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-072-23Chevron_Methane_Report.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-025-82022_Annual_Stockholder_Meeting.pdf,"['Support of UN Climate Process', 'Supporting the Need for Regulations']"
-001-092-CIL_BusinessIndia_Nov22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-001-092-CIL_Bizzbuzz_Aug22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process']"
-001-058-CLG_jointletter_UKnetzero_20.09.22_oct2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-093-CocaCola_2022_WEForum_December2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations', 'Renewable Energy', 'Energy and Resource Efficiency']"
-001-037-CocaCola_2022_CombattingClimateChange_August2022.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-001-029-Climate_Change_Position___ConocoPhillips.pdf,"['Communication of Climate Science', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-029-Public_Policy_Engagement___ConocoPhillips.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Support of UN Climate Process', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
"-001-029-ConocoPhillips_Canada_Resources_Corp.___Bijan_Agarwal,_President,_Canada_-_12-Month_Federal_Lobbying_Summary_-_-_Lobbyists_Registration_System_-_Office_of_the_Commissioner_of_Lobbying_of_Canada.pdf","['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-029-Carbon_Pricing___ConocoPhillips.pdf,"['Supporting the Need for Regulations', 'Carbon Tax']"
-001-030-LD-2_Disclosure_Form.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Supporting the Need for Regulations', 'Carbon Tax']"
-001-030-q1LD-2_Disclosure_Form.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Supporting the Need for Regulations', 'Carbon Tax']"
-001-030-Power_in_Cooperation_–_ConocoPhillips.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science', 'Supporting the Need for Regulations']"
-001-029-Alberta_registration_form_for_organization_lobbyists.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-029-Emissions_Reduction_Targets___ConocoPhillips.pdf,"['GHG Emission Regulation', 'Supporting the Need for Regulations']"
-000-934-Why_engine-maker_Cummins_is_lobbying_President_Biden_for_new_climate_legislation___Fortune.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations', 'Carbon Tax']"
-001-108-Cummins_CDP_2022_Jan2023.pdf,"['GHG Emission Regulation', 'Carbon Tax', 'Transparency on Legislation', 'Disclosure on Relationships', 'Renewable Energy']"
-000-903-Cummins_2022_PolicyPositions_Jan2022.pdf,"['Communication of Climate Science', 'Supporting the Need for Regulations']"
-001-110-CARB-Joint-Letter_Building-Electrification_01-23.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
-000-974-BICEP_Federal_HDV_Standards-May2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action']"
-001-077-Ceres_Virginia_EnergyPlancomments_8.9.22_nov2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency', 'Emissions Trading', 'Renewable Energy']"
-001-002-CEO_Ceres_ReconciliationLetter_11.7.22_Jul2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency', 'Renewable Energy']"
-001-024-Delta_2021-10K_2022.pdf,"['GHG Emission Regulation', 'Emissions Trading', 'Supporting the Need for Regulations', 'Renewable Energy']"
-001-021-Dealta_2021-ESG-report_2022.pdf,"['Supporting the Need for Regulations', 'Renewable Energy']"
-001-021-Delta_NewsHub_22-03-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-124-Delta_newsletter_30-12-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-022-Delta_Q2-LDA_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-022-Delta_Q1_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-123-Delta_Q3-2022-LDA_10-22.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-022-Delta_news-release_06-22.pdf,"['GHG Emission Regulation', 'Renewable Energy']"
-001-093-Dominion_climatereport_CEOintro_15.12.22_dec2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action', 'Supporting the Need for Regulations']"
-001-026-Dominion_Q12022_earningscall_6.5.22_aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading']"
-001-093-Dominion_climatereport_15.12.22_dec2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-026-Dominion_Q42021_earningscall_11.2.22_aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-026-Dominion_Q22022_earningscall_8.8.22_aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-069-Duke_Q32022_LDAreport_20.10.22_oct2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-021-Duke_Q22022_LDAreport_20.7.22_july2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-037-Duke_Ohio_lobbying_26.5.22_aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency', 'Renewable Energy']"
-001-037-Duke_Q42021_earningscall_10.2.22_aug2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Renewable Energy']"
-001-110-Duke_press_COP_20.1.23_jan2023.pdf,"['Energy Transition & Zero Carbon Technologies', 'Support of UN Climate Process', 'Supporting the Need for Regulations']"
-000-952-E.ON_SustainabilityReport_2021_March2022_AccessedApril2022p46.pdf,"['GHG Emission Regulation', 'Alignment with IPCC on Climate Action']"
-000-901-E.ON_European_energy_policy__AccessedJan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action']"
-000-901-E.ON_Climate_protection_in_the_EU__AccessedJan2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'Carbon Tax', 'Transparency on Legislation', 'Renewable Energy', 'Energy and Resource Efficiency', 'Communication of Climate Science']"
-000-952-E.ON_Climate_Advocacy_and_Associations_Report_March2022_AccessedApril2022.pdf,"['Disclosure on Relationships', 'Supporting the Need for Regulations']"
-000-952-E.ON_SustainabilityReport_2021_March2022_AccessedApril2022p106.pdf,"['Energy Transition & Zero Carbon Technologies', 'Supporting the Need for Regulations']"
"-000-982-E.ON,EDF_UKEnvAuditCommittee_OralEvidence_Transitions_June2022_AccessedJune2022.pdf","['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency']"
-000-943-E.ONUK_CEO_CityAM_March2022_AccessedMarch2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency']"
-000-901-EDF_EU_Affairs_Annual_Report_2020_2021_AccessedJan2022p11.pdf,"['Transparency on Legislation', 'Alignment with IPCC on Climate Action']"
-000-980-EDF_europeanaffairsdivision_report_2021_May2022_AccessedJune2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation', 'Emissions Trading', 'Carbon Tax', 'Supporting the Need for Regulations', 'Renewable Energy', 'Energy and Resource Efficiency']"
-001-074-EDF_press_release_heat_pumps_October_2022_November_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-001-116-EDF_Feb_2022_French_SFEC_consultation_response_Jan_2023.pdf,"['Energy Transition & Zero Carbon Technologies', 'Emissions Trading', 'GHG Emission Regulation', 'Alignment with IPCC on Climate Action', 'Renewable Energy', 'Energy and Resource Efficiency']"
-001-060-Edison_Shareholder_Minutes_Climate_Neutrality_and_Fossil_Gas_March_2022_October_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Alignment with IPCC on Climate Action']"
-000-941-EDF_EU_Affairs_on_Twitter___The_IPCC_report_is_a_new_alarm_bell_for_the_climate.March2022_AccessedMarch2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Communication of Climate Science']"
-001-019-EDF_EU_Affairs_Annual_Report_2021_July_2022.pdf,"['Transparency on Legislation', 'Disclosure on Relationships']"
-000-929-AEE_openletter_Virginiaclimate_28.1.22_feb2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency', 'Emissions Trading']"
-001-051-Edison-EDF_EPBD_Feedback_March_2022_September_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency']"
-000-967-Edison_HDV_Comments-Feb22_Accessed-May22.pdf,"['Energy Transition & Zero Carbon Technologies', 'GHG Emission Regulation']"
-001-051-EDF_EPBD_Feedback_March_2022_September_2022.pdf,"['Energy Transition & Zero Carbon Technologies', 'Energy and Resource Efficiency']"
